B1676	Tensione batteria fuori campo[Fiat]
P0370	Referencia reglaje encendido, señal alta resolucion A - defectuosa
P0371	Referencia reglaje encendido, señal alta resolucion A - demasiados impulsos
P0372	Referencia reglaje encendido, señal alta resolucion A - pocos impulsos
P0373	Referencia reglaje encendido, señal alta resolucion A - Impulsos intermitentes
P0374	Referencia reglaje encendido, señal alta resolucion A - No hay impulsos
P0375	Referencia reglaje encendido, señal alta resolucion B - defectuosa
P0376	Referencia reglaje encendido, señal alta resolucion B - demasiados impulsos
P0377	Referencia reglaje encendido, señal alta resolucion B - pocos impulsos
P0378	Referencia reglaje encendido, señal alta resolucion B - impulsos intermitentes
P0379	Referencia reglaje encendido, señal alta resolucion B - No hay impulsos
P0380	Calentadores, circuito A - defectuoso
P0381	Testigo calentadores - circuito defectuoso
P0382	Calentadores, circuito B - defectuoso
P0385	Sensor posicion cigueñal B - circuito defectuoso
P0386	Sensor posicion cigueñal B - rango,funcionamiento
P0387	Sensor posicion cigueñal B - señal entrada baja
P0388	Sensor posicion cigueñal B - señal entrada alta
P0389	Sensor posicion cigueñal B - interrupcion intermitente
P0390	Sensor posicion cigueñal B (bloque 2) - circuito defectuoso
P0391	Sensor posicion cigueñal B (bloque 2) - rango,funcionamiento
P0392	Sensor posicion cigueñal B (bloque 2) - señal entrada baja
P0393	Sensor posicion cigueñal B (bloque 2) - señal entrada alta
P0394	Sensor posicion cigueñal B (bloque 2) - interrupcion intermitente
P0400	Rercirculacion gases escape - flujo defectuoso
P0401	Rercirculacion gases escape - flujo insuficiente
P0402	Rercirculacion gases escape - flujo excesivo
P0403	Rercirculacion gases escape - circuito defectuoso
P0404	Rercirculacion gases escape - rango,funcionamiento
P0405	Sensor Valvula EGR A - señal baja
P0406	Sensor Valvula EGR A - señal alta
P0407	Sensor Valvula EGR B - señal baja
P0408	Sensor Valvula EGR B - señal alta
P0409	Sensor recirculacion gases escape A - circuito defectuoso
P0410	Sistema Inyeccion aire secundario - defectuoso
P0411	Sistema inyeccion aire secundario - flujo incorrecto
P0412	Valvula inyeccion aire secundario A - circuito defectuoso
P0413	Valvula inyeccion aire secundario A - circuito abierto
P0414	Valvula inyeccion aire secundario A - cortocircuito
P0415	Valvula inyeccion aire secundario B - circuito defectuoso
P0416	Valvula inyeccion aire secundario B - circuito abierto
P0417	Valvula inyeccion aire secundario B - cortocircuito
P0418	Rele inyeccion aire secundario A - circuito defectuoso
P0419	Rele inyeccion aire secundario B - circuito defectuoso
P0420	Sistema catalizador (bloque 1) - eficiencia por debajo umbral
P0421	Catalizador delantero (bloque 1) - eficiencia por debajo umbral
P0422	Catalizador principal (bloque 1) - eficiencia por debajo umbral
P0423	Catalizador calentado (bloque 1) - eficiencia por debajo umbral
P0424	Catalizador calentado (bloque 1) - temperatura por debajo umbral
P0425	Sensor temperatura catalizador (bloque 1)
P0426	Sensor temperatura catalizador (bloque 1) - rango,funcionamiento
P0427	Sensor temperatura catalizador (bloque 1) - señal baja
P0428	Sensor temperatura catalizador (bloque 1) - señal alta
P0429	Calentador catalizador (bloque 1) - circuito defectuoso
P0430	Sistema catalizador (bloque 2) - eficiencia por debajo umbral
P0431	Catalizador delantero (bloque 2) - eficiencia por debajo umbral
P0432	Catalizador principal (bloque 2) - eficiencia por debajo umbral
P0433	Catalizador calentado (bloque 2) - eficiencia por debajo umbral
P0434	Catalizador calentado (bloque 2) - temperatura por debajo umbral
P0435	Sensor temperatura catalizador (bloque 2)
P0436	Sensor temperatura catalizador (bloque 2) - rango,funcionamiento
P0437	Sensor temperatura catalizador (bloque 2) - señal baja
P0438	Sensor temperatura catalizador (bloque 2) - señal alta
P0439	Calentador catalizador (bloque 2) - circuito defectuoso
P0440	Sistema emisiones evaporacion - defectuoso
P0441	Sistema emisiones evaporacion - flujo incorrecto
P0442	Sistema emisiones evaporacion - fuga pequeña
P0443	Valvula control emisiones evaporacion - circuito defectuoso
P0444	Valvula control emisiones evaporacion - circuito abierto
P0445	Valvula control emisiones evaporacion - cortocircuito
P0446	Sistema emisiones evaporacion, control ventilacion - circuito defectuoso
P0447	Sistema emisiones evaporacion, control ventilacion - circuito abierto
P0448	Sistema emisiones evaporacion, control ventilacion - cortocircuito
P0449	Sistema emisiones evaporacion, valvula ventilacion - circuito defectuoso
P0450	Sensor presion emisiones evaporacion - circuito defectuoso
P0451	Sensor presion emisiones evaporacion - rango,funcionamiento
P0452	Sensor presion emisiones evaporacion - señal baja
P0453	Sensor presion emisiones evaporacion - señal alta
P0454	Sensor presion emisiones evaporacion - interrupcion intermitente
P0455	Sistema emisiones evaporacion - fuga grande
P0456	Sistema emisiones evaporacion - fuga pequeña
P0457	Sistema emisiones evaporacion - fuga detectada
P0458	Valvula control emisiones evaporacion - señal baja
P0460	Sensor nivel deposito combustible - circuito defectuoso
P0461	Sensor nivel deposito combustible - rango,funcionamiento
P0462	Sensor nivel deposito combustible - señal entrada baja
P0463	Sensor nivel deposito combustible - señal entrada alta
P0464	Sensor nivel deposito combustible - interrupcion intermitente
P0465	Sensor flujo purga filtro emisiones evaporacion - circuito defectuoso
P0466	Sensor flujo purga filtro emisiones evaporacion - rango, funcionamiento
P0467	Sensor flujo purga filtro emisiones evaporacion - señal baja
P0468	Sensor flujo purga filtro emisiones evaporacion - señal lta
P0469	Sensor flujo purga filtro emisiones evaporacion - interrupcion intermitente
P0470	Sensor presion gases escape - circuito defectuoso
P0471	Sensor presion gases escape - rango,funcionamiento
P0472	Sensor presion gases escape - señal baja
P0473	Sensor presion gases escape - señal alta
P0474	Sensor presion gases escape - interrupcion intermitente
P0475	Valvula reguladora presion gases escape - circuito defectuoso
P0476	Valvula reguladora presion gases escape - rango,funcionamiento
P0477	Valvula reguladora presion gases escape - señal baja
P0478	Valvula reguladora presion gases escape - señal alta
P0479	Valvula reguladora presion gases escape - interrupcion intermitente
P0480	Ventilador refrigerante motor 1 - circuito defectuoso
P0481	Ventilador refrigerante motor 2 - circuito defectuoso
P0482	Ventilador refrigerante motor 3 - circuito defectuoso
P0483	Ventilador refrigerante motor, prueba plausibilidad - defectuoso
P0484	Ventilador refrigerante motor, sobrecarga corriente en circuito
P0485	Ventilador refrigerante motor, Potencia/Masa - circuito defectuoso
P0486	Sensor valvula EGR B - circuito defectuoso
P0487	Recirculacion gases escape/posicion Mariposa - circuito defectuoso
P0488	Recirculacion gases escape/posicion Mariposa - rango,funcionamiento
P0489	Recirculacion gases escape - señal baja
P0490	Recirculacion gases escape - señal alta
P0491	Sistema inyeccion aire secundario (bloque 1) - funcionamiento
P0492	Sistema inyeccion aire secundario (bloque 2) - funcionamiento
P0493	Sobrevelocidad ventilador refrigerante motor
P0494	Velocidad ventilador refrigerante motor baja
P0495	Velocidad ventilador refrigerante motor alta
P0496	Sistema emisiones evaporacion - flujo purga alto
P0497	Sistema emisiones evaporacion - flujo purga bajo
P0498	Sistema emisiones evaporacion, control ventilacion - señal baja
P0499	Sistema emisiones evaporacion, control ventilacion - señal alta
P0500	Sensor velocidad vehiculo - circuito defectuoso
P0501	Sensor velocidad vehiculo - rango,funcionamiento
P0502	Sensor velocidad vehiculo - señal entrada baja
P0503	Sensor velocidad vehiculo - señal alta/intermitente
P0504	Interruptor freno - correlacion A/B
P0505	Sistema control ralenti - defectuoso
P0506	Sistema control ralenti - rpm inferior a previsto
P0507	Sistema control ralenti - rpm superior a previsto
P0508	Control aire ralenti - señal baja
P0509	Control aire ralenti - señal alta
P0510	Interruptor mariposa cerrada - circuito defectuoso
P0511	Control aire ralenti - circuito defectuoso
P0512	Circuito peticion motor arranque - funcionamiento incorrecto
P0513	Llave inmovilizadora incorrecta
P0514	Sensor temperatura bateria - rango,funcionamiento
P0515	Sensor temperatura bateria - circuito defectuoso
P0516	Sensor temperatura bateria - señal baja
P0517	Sensor temperatura bateria - señal alta
P0518	Control aire ralenti - interrupcion intermitente
P0519	Control aire ralenti - funcionamiento circuito
P0520	Sensor/interruptor presion aceite motor - circuito defectuoso
P0521	Sensor/interruptor presion aceite motor - rango,funcionamiento
P0522	Sensor/interruptor presion aceite motor - baja tension
P0523	Sensor/interruptor presion aceite motor - alta tension
P0524	Presion aceite motor demasiado baja
P0525	Control velocidad crucero - rango,funcionamiento
P0526	Sensor velocidad ventilador refrigerante motor - circuito defectuoso
P0527	Sensor velocidad ventilador refrigerante motor - rango,funcionamiento
P0528	Sensor velocidad ventilador refrigerante motor - No hay señal
P0530	Sensor presion refrigerante Aire acondicionado - circuito defectuoso
P0531	Sensor presion refrigerante Aire acondicionado - rango,funcionamiento
P0532	Sensor presion refrigerante Aire acondicionado - señal baja
P0533	Sensor presion refrigerante Aire acondicionado - señal alta
P0534	Perdida refrigerante aire acondicionado
P0535	Sensor temperatura evaporador aire acondicionado - circuito defectuoso
P0536	Sensor temperatura evaporador aire acondicionado - rango,funcionamiento
P0537	Sensor temperatura evaporador aire acondicionado - señal baja
P0538	Sensor temperatura evaporador aire acondicionado - señal alta
P0539	Sensor temperatura evaporador aire acondicionado - interrupcion intermitente
P0540	Calentador aire admision A - circuito defectuoso
P0541	Calentador aire admision A - señal baja
P0542	Calentador aire admision A - señal alta
P0543	Calentador aire admision A - circuito abierto
P0544	Sensor temperatura recirculacion gases escape (bloque 1) - circuito defectuoso
P0545	Sensor temperatura recirculacion gases escape (bloque 1) - señal baja
P0546	Sensor temperatura recirculacion gases escape (bloque 1) - señal alta
P0547	Sensor temperatura gases escape (bloque 2) - circuito defectuoso
P0548	Sensor temperatura gases escape (bloque 2) - señal baja
P0549	Sensor temperatura gases escape (bloque 2) - señal alta
P0550	Sensor/interruptor presion direccion asistida - circuito defectuoso
P0551	Sensor/interruptor presion direccion asistida - rango,funcionamiento
P0552	Sensor/interruptor presion direccion asistida - señal baja
P0553	Sensor/interruptor presion direccion asistida - señal alta
P0554	Sensor/interruptor presion direccion asistida - interrupcion intermitente
P0555	Sensor presion servofreno - circuito defectuoso
P0556	Sensor presion servofreno - rango,funcionamiento
P0557	Sensor presion servofreno - señal entrada baja
P0558	Sensor presion servofreno - señal entrada alta
P0559	Sensor presion servofreno - interrupcion intermitente
P0560	Tension del sistema - defectuosa
P0561	Tension del sistema - inestable
P0562	Tension del sistema - baja
P0563	Tension del sistema - alta
P0564	Control velocidad crucero seña entrada A - circuito defectuoso
P0565	Interruptor principal control velocidad, señal ON (encendido) - defectuoso
P0566	Interruptor principal control velocidad, señal OFF (apagado) - defectuoso
P0567	Interruptor selector control velocidad, RESUME (reanudacion) - defectuoso
P0568	Interruptor principal control velocidad, señal SET (fijacion) - defectuoso
P0569	Interruptor selector control velocidad, señal COAST (reduccion) - defectuoso
P0570	Sensor posicion pedal acelerador control velocidad - defectuoso
P0571	Interruptor de velocidad/de freno A - circuito defectuoso
P0572	Interruptor de velocidad/de freno A - señal baja
P0573	Interruptor de velocidad/de freno A - señal alta
P0574	Control velocidad crucero - velocidad vehiculo alta
P0575	Control velocidad crucero - circuito defectuoso
P0576	Control velocidad crucero - señal entrada baja
P0577	Control velocidad crucero - señal entrada alta
P0578	Control velocidad crucero, señal entrada A - activacion permantente
P0579	Control velocidad crucero, señal entrada A - rango,funcionamiento
P0580	Control velocidad crucero, señal entrada A - señal baja
P0581	Control velocidad crucero, señal entrada A - señal alta
P0582	Control velocidad crucero, control vacio - circuito abierto
P0583	Control velocidad crucero, control vacio - señal baja
P0584	Control velocidad crucero, control vacio - señal alta
P0585	Control velocidad crucero, señal entrada A/B - correlacion
P0586	Control velocidad crucero, control ventilacion - circuito abierto
P0587	Control velocidad crucero, control ventilacion - señal baja
P0588	Control velocidad crucero, control ventilacion - señal alta
P0589	Control velocidad crucero, señal entrada B - circuito defectuoso
P0590	Control velocidad crucero, señal entrada B - activacion permanente
P0591	Control velocidad crucero, señal entrada B - rango,funcionamiento
P0592	Control velocidad crucero, señal entrada B - señal baja
P0593	Control velocidad crucero, señal entrada B - señal alta
P0594	Control velocidad crucero, control actuador - circuito abierto
P0595	Control velocidad crucero, control actuador - señal baja
P0596	Control velocidad crucero, control actuador - señal alta
P0597	Control calentador termostato - circuito abierto
P0598	Control calentador termostato - señal baja
P0599	Control calentador termostato - señal alta
P0600	Bus de datos CAN - defectuoso
P0601	Modulo control motor - memoria ROM
P0602	Modulo control motor - error programacion
P0603	Modulo control motor - error memoria permantente KAM
P0604	Modulo control motor - error memoria RAM
P0605	Modulo control motor - error memoria ROM
P0606	Modulo de control - fallo del procesador
P0607	Modulo de control - problema de funcionamiento
P0608	Modulo control, señal salida sensor velocidad A - defectuosa
P0609	Modulo control, señal salida sensor velocidad B - defectuosa
P0610	Modulo control - error opciones vehiculo
P0611	Modulo control inyector combustible - problema funcionamiento
P0612	Modulo control inyector combustible - circuito Rele
P0613	Modulo control transmision - error procesador
P0614	Modulo control motor/transmision - discrepancia
P0615	Rele motor arranque - circuito defectuoso
P0616	Rele motor arranque - señal baja
P0617	Rele motor arranque - señal alta
P0618	Modulo control combustible alternativo - error memoria permanente KAM
P0619	Modulo control combustible alternativo - error memoria RAM/ROM
P0620	Control Alternador - circuito defectuoso
P0621	Testigo alternador - circuito defectuoso
P0622	Alternador, control de campo - circuito defectuoso
P0623	Testigo control generador - circuito defectuoso
P0624	Testigo control tapon llenado - circuito defectuoso
P0625	Terminal campo generador - señal baja
P0626	Terminal campo generador - señal alta
P0627	Control bomba combustible - circuito abierto
P0628	Control bomba combustible - señal baja
P0629	Control bomba combustible - señal alta
P0630	Numero bastidor VIN modulo motor/transmision - no programado o erroneo
P0631	Numero bastidor VIN modulo transmision - no programado o erroneo
P0632	Cuentakilometros modulo motor/transmision - no programado
P0633	Llave inmovilizadora modulo motor/transmision - no programada
P0634	Modulo motor/transmision - temperatura interna alta
P0635	Control direccion asistida - circuito defectuoso
P0636	Control direccion asistida - señal baja
P0637	Control direccion asistida - señal alta
P0638	Control actuador mariposa (bloque 1) - rango,funcionamiento
P0639	Control actuador mariposa (bloque 2) - rango,funcionamiento
P0640	Control calentador aire admision - circuito defectuoso
P0641	Tension referencia sensor A - circuito abierto
P0642	Control de detonacion motor - defectuoso
P0643	Tension referencia sensor A - señal alta
P0644	Pantalla del conductor, comunicacion serie - circuito defectuoso
P0645	Aire acondicionado
P0646	Rele embrague compresor aire acondicionado - señal baja
P0647	Rele embrague compresor aire acondicionado - señal alta
P0648	Testigo control inmovilizador - circuito defectuoso
P0649	Testigo velocidad crucero - circuito defectuoso
P0650	Testigo de averias - circuito defectuoso
P0651	Tension referencia sensor B - circuito abierto
P0652	Tension referencia sensor B - señal baja
P0653	Tension referencia sensor B - señal alta
P0654	Regimen motor (rpm) señal salida - circuito defectuoso
P0655	Señal salida testigo sobrecalentamiento motor - circuito defectuoso
P0656	Señal salida nivel combustible - circuito defectuoso
P0657	Tension alimentacion actuador - circuito abierto
P0658	Tension alimentacion actuador - señal baja
P0659	Tension alimentacion actuador - señal alta
P0660	Valvula control aire colector admision (bloque 1) - circuito abierto
P0661	Valvula control aire colector admision (bloque 1) - señal baja
P0662	Valvula control aire colector admision (bloque 1) - señal alta
P0663	Valvula control aire colector admision (bloque 2) - circuito abierto
P0664	Valvula control aire colector admision (bloque 2) - señal baja
P0665	Valvula control aire colector admision (bloque 2) - señal alta
P0666	Sensor temperatura interna modulo motor/transmision - circuito defectuoso
P0667	Sensor temperatura interna modulo motor/transmision - rango,funcionamiento
P0668	Sensor temperatura interna modulo motor/transmision - señal baja
P0669	Sensor temperatura interna modulo motor/transmision - señal alta
P0670	Modulo control calentadores - circuito defectuoso
P0671	Calentadores cilindro 1 - circuito defectuoso
P0672	Calentadores cilindro 2 - circuito defectuoso
P0673	Calentadores cilindro 3 - circuito defectuoso
P0674	Calentadores cilindro 4 - circuito defectuoso
P0675	Calentadores cilindro 5 - circuito defectuoso
P0676	Calentadores cilindro 6 - circuito defectuoso
P0677	Calentadores cilindro 7 - circuito defectuoso
P0678	Calentadores cilindro 8 - circuito defectuoso
P0679	Calentadores cilindro 9 - circuito defectuoso
P0680	Calentadores cilindro 10 - circuito defectuoso
P0681	Calentadores cilindro 11 - circuito defectuoso
P0682	Calentadores cilindro 12 - circuito defectuoso
P0683	Comunicacion modulo calentadores/motor/transmision - incorrecto
P0684	Comunicacion modulo calentadores/motor/transmision - rango,funcionamiento
P0685	Rele alimentacion modulo motor/transmision - circuito abierto
P0686	Rele alimentacion modulo motor/transmision - señal baja
P0687	Rele control motor - cortocircuito a masa
P0688	Rele control motor - cortocircuito a positivo
P0689	Rele alimentacion modulo motor/transmision - señal baja
P0690	Rele alimentacion modulo motor/transmision - señal alta
P0691	Ventilador refrigerante motor 1 - cortocircuito a masa
P0692	Ventilador refrigerante motor 1 - cortocircuito a positivo
P0693	Ventilador refrigerante motor 2 - cortocircuito a masa
P0694	Ventilador refrigerante motor 2 - cortocircuito a positivo
P0695	Ventilador refrigerante motor 3 - cortocircuito a masa
P0696	Ventilador refrigerante motor 3 - cortocircuito a positivo
P0697	Tension referencia sensor C - circuito abierto
P0698	Tension referencia sensor C - señal baja
P0699	Tension referencia sensor C - señal alta
P0700	Sistema control transmision - defectuoso
P0701	Sistema control transmision - rango,funcionamiento
P0702	Sistema control transmision - electrico
P0703	Convertidor par/interruptor freno B - circuito defectuoso
P0704	Interruptor posicion pedal embrague - circuito defectuoso
P0705	Sensor/Interruptor marchas cortas/largas P/R/N/D/L - circuito defectuoso
P0706	Sensor/Interruptor marchas cortas/largas - rango,funcionamiento
P0707	Sensor/Interruptor marchas cortas/largas - señal baja
P0708	Sensor/Interruptor marchas cortas/largas - señal alta
P0709	Sensor/Interruptor marchas cortas/largas - interrupcion intermitente
P0710	Sensor temperatura aceite transmision - circuito defectuoso
P0711	Sensor temperatura aceite transmision - rango,funcionamiento
P0712	Sensor temperatura aceite transmision - señal baja
P0713	Sensor temperatura aceite transmision - señal alta
P0714	Sensor temperatura aceite transmision - interrupcion intermitente
P0715	Sensor velocidad giro arbol turbina - circuito defectuoso
P0716	Sensor velocidad giro arbol turbina - rango,funcionamiento
P0717	Sensor velocidad giro arbol turbina - no hay señal
P0718	Sensor velocidad giro arbol turbina - interrupcion intermitente
P0719	Convertidor par/interruptor freno B - señal baja
P0720	Sensor velocidad vehiculo - circuito defectuoso
P0721	Sensor velocidad vehiculo - rango,funcionamiento
P0722	Sensor velocidad vehiculo - no hay señal
P0723	Sensor velocidad vehiculo - interrupcion intermitente
P0724	Convertidor par/interruptor freno B - señal alta
P0725	Señal entrada regimen motor - circuito defectuoso
P0726	Señal entrada regimen motor - rango,funcionamiento
P0727	Señal entrada regimen motor - no hay señal
P0728	Señal entrada regimen motor - interrupcion intermitente
P0730	Relacion de marchas incorrecta
P0731	Marcha 1 - relacion incorrecta
P0732	Marcha 2 - relacion incorrecta
P0733	Marcha 3 - relacion incorrecta
P0734	Marcha 4 - relacion incorrecta
P0735	Marcha 5 - relacion incorrecta
P0736	Marcha atras - relacion incorrecta
P0737	Regimen motor modulo control transmision - circuito salida
P0738	Regimen motor modulo control transmision - señal salida baja
P0739	Regimen motor modulo control transmision - señal salida alta
P0740	Valvula embrague convertidor par - circuito defectuoso
P0741	Valvula embrague convertidor par - funcionamiento,desactivado
P0742	Valvula embrague convertidor par - activado permanente
P0743	Valvula embrague convertidor par - circuito electrico
P0744	Valvula embrague convertidor par - interrupcion intermitente
P0745	Solenoide presion aceite transmision - circuito defectuoso
P0746	Solenoide presion aceite transmision - funcionamiento,desactivado
P0747	Solenoide presion aceite transmision - activado permanente
P0748	Solenoide presion aceite transmision - circuito electrico
P0749	Solenoide presion aceite transmision - interrupcion intermitente
P0750	Electrovalvula cambio A - circuito defectuoso
P0751	Electrovalvula cambio A - funcionamiento, desactivado
P0752	Electrovalvula cambio A - activado permanente
P0753	Electrovalvula cambio A - circuito electrico
P0754	Electrovalvula cambio A - interrupcion intermitente
P0755	Electrovalvula cambio B - circuito defectuoso
P0756	Electrovalvula cambio B - funcionamiento,desactivado
P0757	Electrovalvula cambio B - activado permanente
P0758	Electrovalvula cambio B - circuito electrico
P0759	Electrovalvula cambio B - interrupcion intermitente
P0760	Electrovalvula cambio C - circuito defectuoso
P0761	Electrovalvula cambio C - funcionamiento,desactivado
P0762	Electrovalvula cambio C - activado permanente
P0763	Electrovalvula cambio C - circuito electrico
P0764	Electrovalvula cambio C - interrupcion intermitente
P0765	Electrovalvula cambio D - circuito defectuoso
P0766	Electrovalvula cambio D - funcionamiento,desactivado
P0767	Electrovalvula cambio D - activado permanente
P0768	Electrovalvula cambio D - circuito electrico
P0769	Electrovalvula cambio D - interrupcion intermitente
P0770	Electrovalvula cambio E - circuito defectuoso
P0771	Electrovalvula cambio E - funcionamiento, desactivado
P0772	Electrovalvula cambio E - activado permanente
P0773	Electrovalvula cambio E - circuito electrico
P0774	Electrovalvula cambio E - interrupcion intermitente
P0775	Solenoide control presion B - circuito defectuoso
P0776	Solenoide control presion B - funcionamiento, desactivado
P0777	Solenoide control presion B - activado permanente
P0778	Solenoide control presion B - averia electrica
P0779	Solenoide control presion B - interrupcion intermitente
P0780	Seleccion de marchas - cambio defectuoso
P0781	Seleccion de marchas 1-2 - cambio defectuoso
P0782	Seleccion de marchas 2-3 - cambio defectuoso
P0783	Seleccion de marchas 3-4 - cambio defectuoso
P0784	Seleccion de marchas 4-5 - cambio defectuoso
P0785	Electrovalvula cambio/reglaje - circuito defectuoso
P0786	Electrovalvula cambio/reglaje - rango,funcionamiento
P0787	Electrovalvula cambio/reglaje - señal baja
P0788	Electrovalvula cambio/reglaje - señal alta
P0789	Electrovalvula cambio/reglaje - señal intermitente
P0790	Interruptor seleccion modo cambio - circuito defectuoso
P0791	Sensor velocidad giro arbol intermedio - circuito defectuoso
P0792	Sensor velocidad giro arbol intermedio - rango,funcionamiento
P0793	Sensor velocidad giro arbol intermedio - No hay señal
P0794	Sensor velocidad giro arbol intermedio - averia intermitente
P0795	Solenoide presion aceite transmision C - circuito defectuoso
P0796	Solenoide presion aceite transmision C - funcionamiento,desactivado
P0797	Solenoide presion aceite transmision C - activado permanente
P0798	Solenoide presion aceite transmision C - averia electrica
P0799	Solenoide presion aceite transmision C - averia intermitente
P0800	Control caja transferencia, peticion testigo averias - funcionamiento incorrecto
P0801	Circuito inhibidor marcha atras - circuito defectuoso
P0802	Sistema control transmision, peticion testigo averias - circuito abierto
P0803	Electrovalvula cambio a mayor 1-4 (omision de marcha) - circuito defectuoso
P0804	Testigo cambio a mayor 1-4 (omision de marcha) - circuito defectuoso
P0805	Sensor posicion embrague - circuito defectuoso
P0806	Sensor posicion embrague - rango,funcionamiento
P0807	Sensor posicion embrague - señal entrada baja
P0808	Sensor posicion embrague - señal entrada alta
P0809	Sensor posicion embrague - averia intermitente
P0810	Error control posicion embrague
P0811	Deslizamiento excesivo embrague
P0812	Marcha atras - circuito entrada defectuoso
P0813	Marcha atras - circuito salida defectuoso
P0814	Display marchas cortas/largas - circuito defectuoso
P0815	Interruptor de cambio a mayor - circuito defectuoso
P0816	Interruptor de cambio a menor - circuito defectuoso
P0817	Inhabilitacion motor arranque - circuito defectuoso
P0818	Interruptor desconexion transmision - circuito defectuoso
P0819	Interruptor cambio marchas cortas/largas
P0820	Sensor posicion X-Y palanca cambios - circuito defectuoso
P0821	Sensor posicion X palanca cambios - circuito defectuoso
P0822	Sensor posicion Y palanca cambios - circuito defectuoso
P0823	Sensor posicion X palanca cambios - interrupcion intermitente
P0824	Sensor posicion Y palanca cambios - interrupcion intermitente
P0825	Interruptor direccion palanca cambios - circuito defectuoso
P0826	Interruptor cambio a mayor/menor - circuito defectuoso
P0827	Interruptor cambio a mayor/menor - señal baja
P0828	Interruptor cambio a mayor/menor - señal alta
P0829	Cambia a mayor 5-6
P0830	Interruptor posicion pedal embrague A - circuito defectuoso
P0831	Interruptor posicion pedal embrague A - señal entrada baja
P0832	Interruptor posicion pedal embrague A - señal entrada alta
P0833	Interruptor posicion pedal embrague B - circuito defectuoso
P0834	Interruptor posicion pedal embrague B - señal entrada baja
P0835	Interruptor posicion pedal embrague B - señal entrada alta
P0836	Interruptor traccion total - circuito defectuoso
P0837	Interruptor traccion total - rango,funcionamiento
P0838	Interruptor traccion total - señal entrada baja
P0839	Interruptor traccion total - señal entrada alta
P0840	Sensor/Interruptor presion aceite transmision A - circuito defectuoso
P0841	Sensor/Interruptor presion aceite transmision A - rango,funcionamiento
P0842	Sensor/Interruptor presion aceite transmision A - señal entrada baja
P0843	Sensor/Interruptor presion aceite transmision A - señal entrada alta
P0844	Sensor/Interruptor presion aceite transmision A - interrupcion intermitente
P0845	Sensor/Interruptor presion aceite transmision B - circuito defectuoso
P0846	Sensor/Interruptor presion aceite transmision B - rango,funcionamiento
P0847	Sensor/Interruptor presion aceite transmision B - señal entrada baja
P0848	Sensor/Interruptor presion aceite transmision B - señal entrada alta
P0849	Sensor/Interruptor presion aceite transmision B - interrupcion intermitente
P0850	Interruptor posicion estacionamiento/punto muerto - circuito defectuoso
P0851	Interruptor posicion estacionamiento/punto muerto - señal entrada baja
P0852	Interruptor posicion estacionamiento/punto muerto - señal entrada alta
P0853	Interruptor conduccion automatica transmision - circuito defectuoso
P0854	Interruptor conduccion automatica transmision - señal entrada baja
P0855	Interruptor conduccion automatica transmision - señal entrada alta
P0856	Control traccion - circuito defectuoso
P0857	Control traccion - rango,funcionamiento
P0858	Control traccion - señal entrada baja
P0859	Control traccion - señal entrada alta
P0860	Comunicacion modulo cambio marchas - circuito defectuoso
P0861	Comunicacion modulo cambio marchas - señal entrada baja
P0862	Comunicacion modulo cambio marchas - señal entrada alta
P0863	Comunicacion modulo transmision - circuito defectuoso
P0864	Comunicacion modulo transmision - rango,funcionamiento
P0865	Comunicacion modulo transmision - señal entrada baja
P0866	Comunicacion modulo transmision - señal entrada alta
P0867	Sensor presion aceite transmision
P0868	Sensor presion aceite transmision - señal baja
P0869	Sensor presion aceite transmision - señal alta
P0870	Sensor/Interruptor presion aceite transmision C - circuito defectuoso
P0871	Sensor/Interruptor presion aceite transmision C - rango,funcionamiento
P0872	Sensor/Interruptor presion aceite transmision C - señal baja
P0873	Sensor/Interruptor presion aceite transmision C - señal alta
P0874	Sensor/Interruptor presion aceite transmision C - interrupcion intermitente
P0875	Sensor/Interruptor presion aceite transmision D - circuito defectuoso
P0876	Sensor/Interruptor presion aceite transmision D - rango,funcionamiento
P0877	Sensor/Interruptor presion aceite transmision D - señal baja
P0878	Sensor/Interruptor presion aceite transmision D - señal alta
P0879	Sensor/Interruptor presion aceite transmision D - interrupcion intermitente
P0880	Modulo control transmision, señal entrada alimentacion - circuito defectuoso
P0881	Modulo control transmision, señal entrada alimentacion - rango,funcionamiento
P0882	Modulo control transmision, señal entrada alimentacion - señal baja
P0883	Modulo control transmision, señal entrada alimentacion - señal alta
P0884	Modulo control transmision, señal entrada alimentacion - interrupcion intermitente
P0885	Rele alimentacion modulo control transmision - circuito abierto
P0886	Rele alimentacion modulo control transmision - señal baja
P0887	Rele alimentacion modulo control transmision - señal alta
P0888	Rele alimentacion modulo control transmision, supervision - circuito defectuoso
P0889	Rele alimentacion modulo control transmision, supervision - rango,funcionamiento
P0890	Rele alimentacion modulo control transmision, supervision - señal baja
P0891	Rele alimentacion modulo control transmision, supervision - señal alta
P0892	Rele alimentacion modulo control transmision, supervision - interrupcion intermitente
P0893	Varias marchs engranadas
P0894	Deslizamiento componente transmision
P0895	Tiempo de cambio escaso
P0896	Tiempo de cambio excesivo
P0897	Aceite transmision deteriorado
P0898	Transmision, peticion testigo averias - señal baja
P0899	Transmision, peticion testigo averias - señal alta
P0900	Actuador embrague - circuito abierto
P0901	Actuador embrague - rango,funcionamiento
P0902	Actuador embrague - señal baja
P0903	Actuador embrague - señal alta
P0904	Posicion neutral caja cambios - circuito defectuoso
