B1676	Tensione batteria fuori campo[Fiat]
C1509	Controllo slittamento ruote[Fiat]
C1512	Sensore angolo di sterzata calibratura[Fiat]
C1517	Sensore angolo di sterzata calibratura[Fiat]
C1520	Bus dati CAN[Fiat]
C1521	Messaggio CAN centralina controllo motore[Fiat]
C1522	Messaggio CAN strumento multiplo[Fiat]
C1550	Unita' di controllo[Fiat]
C1607	Centrlalina[Fiat]
C1779	Ventilatore radiatore raffreddamento[Fiat]
C1800	Tensione batteria[Fiat]
C1802	Tensione batteria(troppo bassa)[Fiat]
C1881	Codice variante[Fiat]
P0000	Nessun codice riscontrato
P0001	Controllo regolatore volume combust.
P0002	Controllo regolatore combust.
P0003	Controllo regolatore volume combust.
P0004	Controllo regolatore volume combust.
P0005	Circuito valvola taglio carburante
P0006	Controllo interrutt.A valvola carburante
P0007	Controllo interrutt.A valvola carburante
P0008	Prestazione sistema posizione motore
P0009	Prestazione sistema posizione motore
P0010	Attuatore albero camme A1
P0011	Albero camme A1 troppo in anticipo
P0012	Albero camme A1 troppo in ritardo
P0013	Attuatore albero camme B1
P0014	Albero camme B1 troppo in anticipo
P0015	Albero camme B1 troppo in ritardo
P0016	Posizione Albero a gomito
P0017	Posizione Albero a gomito
P0018	Posizione Albero a gomito
P0019	Posizione Albero a gomito
P0020	Attuatore albero camme A2
P0021	Albero camme A2 troppo in anticipo
P0022	Albero camme A2 troppo in ritardo
P0023	Attuatore albero camme B2
P0024	Albero camme B2 troppo in anticipo
P0025	Albero camme B2 troppo in ritardo
P0026	Solenoide controllo valvola aspirazione
P0027	Solenoide controllo valvola di scarico
P0028	Solenoide controllo valvola aspirazione
P0029	Solenoide controllo valvola di scarico
P0030	Riscaldatore lambda B1 S1
P0031	Risc. lambda cc a - B1 S1
P0032	Risc. lambda cc a + B1 S1
P0033	Valv. Bypass turbo
P0034	Valv. Bypass turbo cc a -
P0035	Valv. Bypass turbo cc a +
P0036	Riscaldatore lambda B1 S2
P0037	Risc. lambda cc a - B1 S2
P0038	Risc. lambda cc a + B1 S2
P0039	Controllo valvola derivazione turbo
P0040	Segnali sensore ossigeno scambiati
P0041	Segnali sensore ossigeno scambiati
P0042	Riscaldatore lambda B1 S3
P0043	Risc. lambda cc a - B1 S3
P0044	Risc. lambda cc a + B1 S3
P0045	Comando turbo geometria variabile
P0046	Solenoide B controllo turbo-fuori range
P0047	Segnale attuatore turbo sotto soglia
P0048	Segnale attuatore turbo sopra soglia
P0049	Velocità eccessiva turbina
P0050	Riscaldatore lambda B2 S1
P0051	Risc. lambda cc a - B2 S1
P0052	Risc. lambda cc a + B2 S1
P0053	Resistenza riscaldatore lambda
P0054	Resistenza riscaldatore lambda
P0055	Resistenza riscaldatore lambda
P0056	Riscaldatore lambda B2 S2
P0057	Risc. lambda cc a - B2 S2
P0058	Risc. lambda cc a + B2 S2
P0059	Resistenza riscaldatore lambda
P0060	Resistenza riscaldatore lambda
P0061	Resistenza riscaldatore lambda
P0062	Riscaldatore lambda B2 S3
P0063	Risc. lambda cc a - B2 S3
P0064	Risc. lambda cc a + B2 S3
P0065	Iniettore aria secondaria
P0066	Iniett. aria secondaria cc a -
P0067	Iniett. aria secondaria cc a +
P0068	sensore posizione farfalla
P0069	Segnale pressione barometrica
P0070	Sensore temp. aria ambiente
P0071	Sensore temp. aria ambiente
P0072	Sens. temp. aria ambiente cc a -
P0073	Sens. temp. aria ambiente cc a +
P0074	Sens. temp. aria amb. intermitt.
P0075	Valv. collett. aspiraz. B1
P0076	Valv. collett. aspiraz. B1 cc a -
P0077	Valv. collett. aspiraz. B1 cc a +
P0078	Valv. collett. scarico B1
P0079	Valv. collett. scarico B1 cc a -
P0080	Valv. collett. scarico B1 cc a +
P0081	Valv. collett. aspiraz. B2
P0082	Valv. collett. aspiraz. B2 cc a -
P0083	Valv. collett. aspiraz. B2 cc a +
P0084	Valv. collett. scarico B2
P0085	Valv. collett. scarico B2 cc a -
P0086	Valv. collett. scarico B2 cc a +
P0087	Pressione common rail troppo bassa
P0088	Pressione common rail troppo alta
P0089	Regolatore pressione carburante
P0090	Circuito regolazione press.carbur.
P0091	Valvola regolaz. pressione rail cc gnd
P0092	Valvola regolaz. pressione rail cc +Vbat
P0093	Perdita carburante alta pressione
P0094	Perdita carburante bassa pressione
P0095	Sensore 2 temperatura aria aspirata
P0096	Sensore 2 temperatura aria aspirata
P0097	Sensore 2 temperatura aria aspirata
P0098	Sensore 2 temperatura aria aspirata
P0099	Sensore 2 temperatura aria aspirata
P0100	Misuratore flusso aria
P0101	Misuratore flusso aria s.errato
P0102	Misuratore flusso aria cc a -
P0103	Misuratore flusso aria cc a +
P0104	Misuratore flusso aria intermitt.
P0105	Press. coll. aspirazione
P0106	Press. coll. aspir. s.errato
P0107	Press. coll. aspir. cc a -
P0108	Press. coll. aspir. cc a +
P0109	Press. coll. aspir. s.intermitt.
P0110	Sensore temp.aria aspirata
P0111	Temp. aria aspirata s.errato
P0112	Temp. aria aspirata cc a
P0113	Temp. aria aspirata cc a +
P0114	Temp. aria aspirata s.intermitt.
P0115	Sens. temp. motore
P0116	Temp. motore s.errato
P0117	Temp. motore cc a -
P0118	Temp. motore cc a +
P0119	Temp. motore s.intermitt.
P0120	Posiz. farfalla/pedale A
P0121	Posiz. farfalla/pedale A s.errato
P0122	Posiz. farfalla/pedale A cc a -
P0123	Posiz. farfalla/pedale A cc a +
P0124	Pos. farfalla/pedale A intermitt.
P0125	Temp. motore troppo bassa
P0126	Temp. motore troppo bassa
P0127	Temp. aria aspir. troppo alta
P0128	Termostato motore
P0129	Pressione barometrica troppo bassa
P0130	S.Lambda B1 S1
P0131	S.Lambda B1 S1 V bassa
P0132	S.Lambda B1 S1 V alta
P0133	S.Lambda B1 S1 risp.lenta
P0134	S.Lambda B1 S1 manca attività
P0135	Risc.S.Lambda B1 S1
P0136	S.Lambda B1 S2
P0137	S.Lambda B1 S2 V bassa
P0138	S.Lambda B1 S2 V alta
P0139	S.Lambda B1 S2 risp.lenta
P0140	S.Lambda B1 S2 manca attività
P0141	Risc.S.Lambda B1 S2
P0142	S.Lambda B1 S3
P0143	S.Lambda B1 S3 V bassa
P0144	S.Lambda B1 S3 V alta
P0145	S.Lambda B1 S3 risp.lenta
P0146	S.Lambda B1 S3 manca attività
P0147	Risc.S.Lambda B1 S3
P0148	Erogazione carburante
P0149	Fasatura carburante
P0150	S.Lambda B2 S1
P0151	S.Lambda B2 S1 V bassa
P0152	S.Lambda B2 S1 V alta
P0153	S.Lambda B2 S1 risp.lenta
P0154	S.Lambda B2 S1 manca attività
P0155	Risc.S.Lambda B2 S1
P0156	S.Lambda B2 S2
P0157	S.Lambda B2 S2 V bassa
P0158	S.Lambda B2 S2 V alta
P0159	S.Lambda B2 S2 risp.lenta
P0160	S.Lambda B2 S2 manca attività
P0161	Risc.S.Lambda B2 S2
P0162	S.Lambda B2 S3
P0163	S.Lambda B2 S3 V bassa
P0164	S.Lambda B2 S3 V alta
P0165	S.Lambda B2 S3 risp.lenta
P0166	S.Lambda B2 S3 manca attività
P0167	Risc.S.Lambda B2 S3
P0168	Temp.carburante troppo alta
P0169	Compos.carburante sbagliata
P0170	Regolaz.miscela B1
P0171	Miscela troppo magra B1
P0172	Miscela troppo ricca B1
P0173	Regolaz.miscela B2
P0174	Miscela troppo magra B2
P0175	Miscela troppo ricca B2
P0176	Sens.composiz.carburante
P0177	Sens.compos.carburante s.errato
P0178	Sens.composiz.carburante cc a -
P0179	Sens.composiz.carburante cc a +
P0180	Sens. A temp. carburante
P0181	Sens. A temp.carb. s.errato
P0182	Sens. A temp.carb. cc a -
P0183	Sens. A temp.carb. cc a +
P0184	Sens. A temp.carb. Intermitt.
P0185	Sens. B temp. carburante
P0186	Sens. B temp.carb. s.errato
P0187	Sens. B temp.carb. cc a -
P0188	Sens. B temp.carb. cc a +
P0189	Sens. B temp.carb. Intermitt.
P0190	Sensore pressione flauto/rail carburante
P0191	Sens. press. carbur. s.errato
P0192	Sens. press. carbur. cc a -
P0193	Sens. press. carbur. cc a +
P0194	Sens. press. carbur. intermitt.
P0195	Sens. temp. olio motore
P0196	Temp. olio motore s.errato
P0197	Temp. olio motore cc a -
P0198	Temp. olio motore cc a +
P0199	Temp. olio motore intermitt.
P0200	Circuito iniettore
P0201	Iniettore cilindro 1
P0202	Iniettore cilindro 2
P0203	Iniettore cilindro 3
P0204	Iniettore cilindro 4
P0205	Iniettore cilindro 5
P0206	Iniettore cilindro 6
P0207	Iniettore cilindro 7
P0208	Iniettore cilindro 8
P0209	Iniettore cilindro 9
P0210	Iniettore cilindro 10
P0211	Iniettore cilindro 11
P0212	Iniettore cilindro 12
P0213	Iniett. 1 avviam. a freddo
P0214	Iniett. 2 avviam. a freddo
P0215	Solen. spegnimento motore
P0216	Fasatura iniezione
P0217	Sovratemperatura acqua
P0218	Sovratemperatura olio cambio
P0219	Fuorigiri motore
P0220	Posiz. farfalla/pedale B
P0221	Posiz. farfalla/pedale B s.errato
P0222	Posiz. farfalla/pedale B cc a -
P0223	Posiz. farfalla/pedale B cc a +
P0224	Pos. farfalla/pedale B intermitt.
P0225	Posiz. farfalla/pedale C
P0226	Posiz. farfalla/pedale C s.errato
P0227	Posiz. farfalla/pedale C cc a -
P0228	Posiz. farfalla/pedale C cc a +
P0229	Pos. farfalla/pedale C intermitt.
P0230	Primario pompa carburante
P0231	Second. pompa carbur. cc a -
P0232	Second. pompa carbur. cc a +
P0233	Second. pompa carbur. intermitt.
P0234	Sovralimentaz. Eccessiva
P0235	Sensore sovralim. A
P0236	Sensore sovralim. A s.errato
P0237	Sensore sovralim. A cc a -
P0238	Sensore sovralim. A cc a +
P0239	Sensore sovralim. B
P0240	Sensore sovralim. B s.errato
P0241	Sensore sovralim. B cc a -
P0242	Sensore sovralim. B cc a +
P0243	Wastegate A
P0244	Wastegate A s.errato
P0245	Wastegate A cc a -
P0246	Wastegate A cc a +
P0247	Wastegate B
P0248	Wastegate B s.errato
P0249	Wastegate B cc a -
P0250	Wastegate B cc a +
P0251	Pompa iniezione A
P0252	Pompa iniezione A s.errato
P0253	Pompa iniezione A cc a -
P0254	Pompa iniezione A cc a +
P0255	Pompa iniezione A intermitt.
P0256	Pompa iniezione B
P0257	Pompa iniezione B s.errato
P0258	Pompa iniezione B cc a -
P0259	Pompa iniezione B cc a +
P0260	Pompa iniezione B intermitt.
P0261	Iniettore cilindro 1 cc a -
P0262	Iniettore cilindro 1 cc a +
P0263	Iniettore cilindro 1 q.carburante
P0264	Iniettore cilindro 2 cc a -
P0265	Iniettore cilindro 2 cc a +
P0266	Iniettore cilindro 2 q.carburante
P0267	Iniettore cilindro 3 cc a -
P0268	Iniettore cilindro 3 cc a +
P0269	Iniettore cilindro 3 q.carburante
P0270	Iniettore cilindro 4 cc a -
P0271	Iniettore cilindro 4 cc a +
P0272	Iniettore cilindro 4 q.carburante
P0273	Iniettore cilindro 5 cc a -
P0274	Iniettore cilindro 5 cc a +
P0275	Iniettore cilindro 5 q.carburante
P0276	Iniettore cilindro 6 cc a -
P0277	Iniettore cilindro 6 cc a +
P0278	Iniettore cilindro 6 q.carburante
P0279	Iniettore cilindro 7 cc a -
P0280	Iniettore cilindro 7 cc a +
P0281	Iniettore cilindro 7 q.carburante
P0282	Iniettore cilindro 8 cc a -
P0283	Iniettore cilindro 8 cc a +
P0284	Iniettore cilindro 8 q.carburante
P0285	Iniettore cilindro 9 cc a -
P0286	Iniettore cilindro 9 cc a +
P0287	Iniettore cilindro 9 q.carburante
P0288	Iniettore cilindro 10 cc a -
P0289	Iniettore cilindro 10 cc a +
P0290	Iniettore cilindro 10 q.carburante
P0291	Iniettore cilindro 11 cc a -
P0292	Iniettore cilindro 11 cc a +
P0293	Iniettore cilindro 11 q.carburante
P0294	Iniettore cilindro 12 cc a -
P0295	Iniettore cilindro 12 cc a +
P0296	Iniettore cilindro 12 q.carburante
P0297	Condizione eccessiva velocità veicolo
P0298	Sovratemperatura olio motore
P0299	Pressione di sovralimentazione bassa
P0300	Mancate accens. multiple/casuali
P0301	Mancate accens. cilindro 1
P0302	Mancate accens. cilindro 2
P0303	Mancate accens. cilindro 3
P0304	Mancate accens. cilindro 4
P0305	Mancate accens. cilindro 5
P0306	Mancate accens. cilindro 6
P0307	Mancate accens. cilindro 7
P0308	Mancate accens. cilindro 8
P0309	Mancate accens. cilindro 9
P0310	Mancate accens. cilindro 10
P0311	Mancate accens. cilindro 11
P0312	Mancate accens. cilindro 12
P0313	Misfire con liv. carbur. basso
P0314	Mancate accens.
P0315	Variazione Posizione albero a gomito
P0316	Misfire rilevato all`avviamento
P0317	Hardware strada dissestata non presente
P0318	Segnale sensore A strada dissestata
P0319	Segnale sensore B strada dissestata
P0320	Ingr. giri accens/distrib.
P0321	Ingr. giri distrib. s.errato
P0322	Ingr. giri distrib. senza segnale
P0323	Ingr. giri distrib. Intermittente
P0324	Sist. controllo battito
P0325	Sensore battito B1
P0326	Sensore battito B1 s.errato
P0327	Sensore battito B1 cc a -
P0328	Sensore battito B1 cc a +
P0329	Sensore battito B1 intermitt.
P0330	Sensore battito B2
P0331	Sensore battito B2 s.errato
P0332	Sensore battito B2 cc a -
P0333	Sensore battito B2 cc a +
P0334	Sensore battito B2 intermitt.
P0335	Sens. A pos. albero motore
P0336	Sens. A pos. albero mot. s.errato
P0337	Sens. A pos. albero mot. cc a -
P0338	Sens. A pos. albero mot. cc a +
P0339	Sens. A pos. albero mot.intermitt.
P0340	Sens. A B1 albero cam.
P0341	Sens. A B1 albero cam. s.errato
P0342	Sens. A B1 albero cam. cc a -
P0343	Sens. A B1 albero cam. cc a +
P0344	Sens. A B1 albero cam. intermitt.
P0345	Sens. A B2 albero cam.
P0346	Sens. A B2 albero cam. s.errato
P0347	Sens. A B2 albero cam. cc a -
P0348	Sens. A B2 albero cam. cc a +
P0349	Sens. A B2 albero cam. Intermitt.
P0350	Prim. o second. bobina
P0351	Prim. o second. bobina A
P0352	Prim. o second. bobina B
P0353	Prim. o second. bobina C
P0354	Prim. o second. bobina D
P0355	Prim. o second. bobina E
P0356	Prim. o second. bobina F
P0357	Prim. o second. bobina G
P0358	Prim. o second. bobina H
P0359	Prim. o second. bobina I
P0360	Prim. o second. bobina J
P0361	Prim. o second. bobina K
P0362	Prim. o second. bobina L
P0363	Rilevato misfire - rifornimento disab.
P0364	Sensore B posizione albero a camme
P0365	Sens. B B2 albero cam.
P0366	Sens. B B2 albero cam. s.errato
P0367	Sens. B B2 albero cam. cc a -
P0368	Sens. B B2 albero cam. cc a +
P0369	Sens. B B2 albero cam. Intermitt.
P0370	Rif. di fasatura A
P0371	Rif. di fasatura A troppi impulsi
P0372	Rif. di fasatura A pochi impulsi
P0373	Rif. di fasatura A intermittente
P0374	Rif. di fasatura A senza segnale
P0375	Rif. di fasatura B
P0376	Rif. di fasatura B troppi impulsi
P0377	Rif. di fasatura B pochi impulsi
P0378	Rif. di fasatura B intermittente
P0379	Rif. di fasatura B senza segnale
P0380	Candelette preriscald. A
P0381	Spia candelette preriscald.
P0382	Candelette preriscald. B
P0383	Modulo controllo accensione candela
P0384	Modulo controllo accensione candela
P0385	Sens. B pos. albero motore
P0386	Sens. B pos. albero mot. s.errato
P0387	Sens. B pos. albero mot. cc a -
P0388	Sens. B pos. albero mot. cc a +
P0389	Sens. B pos. albero mot.intermitt.
P0390	Sens. B B2 albero cam.
P0391	Sens. B B2 albero cam. s.errato
P0392	Sens. B B2 albero cam. cc a -
P0393	Sens. B B2 albero cam. cc a +
P0394	Sens. B B2 albero cam. intermitt.
P0395	Valori in imput alti( bancata 2)
P0396	Circuito intermittente ( bancata 2)
P0397	Errore generico
P0398	Errore generico
P0399	Errore generico
P0400	Flusso EGR anomalo
P0401	Flusso EGR insufficiente
P0402	Flusso EGR eccessivo
P0403	Comando EGR
P0404	Comando EGR s.errato
P0405	EGR Sensore A cc a -
P0406	EGR Sensore A cc a +
P0407	EGR Sensore B cc a -
P0408	EGR Sensore B cc a +
P0409	EGR Sensore A
P0410	Iniezione aria secondaria
P0411	Iniez. aria sec. flusso errato
P0412	Valv. A iniez. aria sec. anomalia
P0413	Valv. A iniez. aria sec. ca
P0414	Valv. A iniez. aria sec. cc
P0415	Valv. B iniez. aria sec. anomalia
P0416	Valv. B iniez. aria sec. ca
P0417	Valv. B iniez. aria sec. cc
P0418	Relè A iniez. aria secondaria
P0419	Relè B iniez. aria secondaria
P0420	Bassa effic. sistema cat. B1
P0421	Bassa effic. riscaldatore cat. B1
P0422	Bassa effic. cat. principale B1
P0423	Bassa effic. cat. riscaldato B1
P0424	Bassa temp. cat. riscaldato B1
P0425	Sens. temp. catalizz. B1
P0426	Sens. temp. catalizz. B1 s.errato
P0427	Sens. temp. catalizz. B1 cc a
P0428	Sens. temp. catalizz. B1 cc a +
P0429	Circ. riscald. catalizz. B1
P0430	Bassa effic. sistema cat. B2
P0431	Bassa effic. riscaldatore cat. B2
P0432	Bassa effic. cat. principale B2
P0433	Bassa effic. cat. riscaldato B2
P0434	Bassa temp. cat. riscaldato B2
P0435	Sens. temp. catalizz. B2
P0436	Sens. temp. catalizz. B2 s.errato
P0437	Sens. temp. catalizz. B2 cc a
P0438	Sens. temp. catalizz. B2 cc a +
P0439	Circ. riscald. catalizz. B2
P0440	Sist. antievaporativo
P0441	Sist. antievap. flusso errato
P0442	Piccola perdita sist. antievap.
P0443	Circuito canister
P0444	Canister ca
P0445	Canister cc
P0446	Sfiato sist. antievap.
P0447	Sfiato sist. antievap. ca
P0448	Sfiato sist. antievap. cc
P0449	Valv. sfiato sist. antievap.
P0450	Sens. press. sist. antievap.
P0451	Sens. P. sist. antievap. s.errato
P0452	Sens. P. sist. antievap. cc a -
P0453	Sens. P. sist. antievap. cc a +
P0454	Sens. P. sist. antievap. interm.
P0455	Grossa perdita sist. antievap.
P0456	Perdita m.piccola sist. antievap.
P0457	Tappo serbatoio assente
P0458	Valvola controllo svuotamento EEC
P0459	Valvola controllo svuotamento EEC
P0460	Sens. livello carbur.
P0461	Sens. livello carbur. s.errato
P0462	Sens. livello carbur. cc a -
P0463	Sens. livello carbur. cc a +
P0464	Sens. livello carbur. intermitt.
P0465	Sens. rigenerazione
P0466	Sens. rigenerazione s.errato
P0467	Sens. rigenerazione cc a -
P0468	Sens. rigenerazione cc a +
P0469	Sens. rigenerazione intermitt.
P0470	Sens. P. gas scarico
P0471	Sens. P. gas scarico s.errato
P0472	Sens. P. gas scarico cc a -
P0473	Sens. P. gas scarico cc a +
P0474	Sens. P. gas scarico intermitt.
P0475	Valv. Press. gas scarico
P0476	Valv. Press. gas scarico s.errato
P0477	Valv. Press. gas scarico cc a -
P0478	Valv. Press. gas scarico cc a +
P0479	Valv. Press. gas scarico intermit.
P0480	Ventola raffreddamento 1
P0481	Ventola raffreddamento 2
P0482	Ventola raffreddamento 3
P0483	Controllo ventola raffredd.
P0484	Corrente eccessiva ventola
P0485	Alimentaz. o massa ventola
P0486	EGR Sensore B
P0487	Comando farfalla EGR
P0488	Comando farfalla EGR s.errato
P0489	Controllo ricircolo gas di scarico
P0490	Controllo ricircolo gas di scarico
P0491	Iniez. aria secondaria B1
P0492	Iniez. aria secondaria B2
P0493	Velocità eccessiva ventola
P0494	Velocità bassa ventola
P0495	Velocità alta ventola
P0496	Alto flusso svuotamento EES
P0497	Basso flusso svuotamento EES
P0498	Controllo sfiato EES - segnale basso
P0499	Controllo sfiato EES - segnale alto
P0500	Sens. velocità veicolo
P0501	Sens. velocità veicolo s.errato
P0502	Sens. velocità veicolo cc a
P0503	Sens. velocità veicolo intermitt.
P0504	Correlazione A/B interruttore freno
P0505	Attuatore minimo
P0506	Att. minimo: motore lento
P0507	Att. minimo: motore veloce
P0508	Att. minimo: cc a -
P0509	Att. minimo: cc a -
P0510	Interruttore minimo
P0511	Circuito controllo aria minimo
P0512	Motorino avviamento
P0513	Immobilizzatore chiave errata
P0514	Sensore temperatura batteria
P0515	Sens.temp.batt./Sens.temp.aria
P0516	Sens.temp.batt./Sens.temp.aria cc-
P0517	Sens.temp.batt./Sens.temp.aria cc+
P0518	Circuito controllo aria minimo
P0519	Prestazioni controllo aria minimo
P0520	Sens. press. olio
P0521	Sens. press. olio s.errato
P0522	Sens. press. olio cc a
P0523	Sens. press. olio cc a +
P0524	Press. olio motore troppo bassa
P0525	Cruise control, servo controllo
P0526	Sensore velocità ventola
P0527	Sensore velocità ventola - fuori range
P0528	Sensore velocità ventola - No segnale
P0529	Sensore velocità ventola
P0530	Sens. press. refr. AC
P0531	Sens. press. refr. AC s.errato
P0532	Sens. press. refr. AC cc a -
P0533	Sens. press. refr. AC cc a +
P0534	Perdita refrigerante AC
P0535	Sensore temperatura evaporatore A/C
P0536	Sensore temperatura evaporatore A/C
P0537	Sensore temperatura evaporatore A/C
P0538	Sensore temperatura evaporatore A/C
P0539	Sensore temperatura evaporatore A/C
P0540	Circ. riscald aria aspirata
P0541	Circ.riscald. aria aspirata cc a -
P0542	Circ.riscald. aria aspirata cc a +
P0543	Circuito riscaldatore A aria aspirata
P0544	Sens. T. gas scarico B1
P0545	Sens. T. gas scarico B1 cc a -
P0546	Sens. T. gas scarico B1 cc a +
P0547	Sens. T. gas scarico B2
P0548	Sens. T. gas scarico B2 cc a -
P0549	Sens. T. gas scarico B2 cc a +
P0550	Attuat. servosterzo
P0551	Attuat. servosterzo s.errato
P0552	Attuat. servosterzo cc a -
P0553	Attuat. servosterzo cc a +
P0554	Attuat. servosterzo intermitt.
P0555	Sensore pressione servofreno
P0556	Sensore di pressione freno
P0557	Sensore di pressione freno
P0558	Sensore di pressione freno
P0559	Sensore di pressione freno
P0560	Tensione sistema
P0561	Tensione sistema instabile
P0562	Tensione sistema bassa
P0563	Tensione sistema alta
P0564	Ingresso cruise control
P0565	S.Attivazione cruise control
P0566	S.Disattivazione cruise control
P0567	S.Ripristino cruise control
P0568	S.Impostazione cruise control
P0569	S.Inerzia cruise control
P0570	S.Accelerazione cruise control
